date,region,country,product,sales_rep,channel,segment,units_sold,unit_price_usd,discount_rate,revenue_usd,fleet_uptime,battery_health,co2_saved_tons
2024-04-01,Southern Africa,Zimbabwe,Battery Pack Gen2,Peter Otieno,Direct,Private Fleet,1,45000,0.057,42435.0,0.944,0.978,1.52
2024-04-01,East Africa,Kenya,Depot Charger 60kW,John Mwangi,Direct,Shuttle Services,1,25000,0.096,22600.0,0.947,0.889,2.46
2024-04-01,North Africa,Morocco,E-Bus 25,Fatou Ndiaye,Partner,Private Fleet,1,155000,0.053,146785.0,0.96,0.914,2.08
2024-04-01,North Africa,Tunisia,Onboard Charger 30kW,Peter Otieno,Direct,Public Transport,3,12000,0.049,34236.0,0.965,0.871,6.84
2024-04-01,West Africa,Côte d'Ivoire,Depot Charger 60kW,Lerato Moyo,Direct,Shuttle Services,1,25000,0.071,23225.0,0.935,0.884,2.93
2024-04-02,East Africa,Uganda,E-Bus 25,Awa Diallo,Tender,Private Fleet,1,155000,0.086,141670.0,0.971,0.957,3.43
2024-04-02,East Africa,Tanzania,E-Bus 35,Awa Diallo,Tender,Shuttle Services,1,210000,0.043,200970.0,0.917,0.968,2.98
2024-04-02,West Africa,Ghana,Depot Charger 60kW,Fatou Ndiaye,Direct,Private Fleet,2,25000,0.087,45650.0,0.985,0.934,5.47
2024-04-02,East Africa,Uganda,E-Bus 45,John Mwangi,Direct,Public Transport,2,280000,0.129,487760.0,0.909,0.889,6.02
2024-04-02,Southern Africa,Zimbabwe,E-Bus 35,Yao Kouamé,Direct,Public Transport,1,210000,0.063,196770.0,0.967,0.933,3.51
2024-04-02,North Africa,Egypt,Battery Pack Gen2,John Mwangi,Direct,Public Transport,3,45000,0.075,124875.0,0.901,0.885,8.51
2024-04-02,West Africa,Senegal,Onboard Charger 30kW,John Mwangi,Direct,Shuttle Services,1,12000,0.035,11580.0,0.995,0.927,2.41
2024-04-02,East Africa,Tanzania,Battery Pack Gen2,Lerato Moyo,Partner,Private Fleet,1,45000,0.048,42840.0,0.95,0.917,3.09
2024-04-03,North Africa,Tunisia,E-Bus 35,Lerato Moyo,Direct,Private Fleet,1,210000,0.043,200970.0,0.914,0.923,3.59
